StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q54,pos1,pos2,pos3,pos4,pos5,inc1,inc2,inc3,inc4,neut1,neut2,neut3,neut4,neut5,Data Sharing Fundame,datashare_opinion,datashare_behavior,datashare_b_percent_1,datashare_b_first_1,datashare_b_whynot,datashare_b_whynot_17_TEXT,datashare_b_others_1,datasure_o_others_1,datasure_o_others_2,datasure_o_others_3,datasure_o_others_4,datasure_o_others_5,Preregistration Fund,prereg_opinion,prereg_behavior,prereg_b_percent_1,prereg_p_first_1,prereg_b_whynot,prereg_b_whynot_14_TEXT,prereg_b_hesitate,prereg_b_hesitate_14_TEXT,prereg_b_future,prereg_b_future_14_TEXT,prereg_b_others_1,prereg_o_others_1,prereg_o_others_2,prereg_o_others_3,prereg_o_others_4,prereg_o_others_5,Q4,OA_opinion,OA_behavior,OA_b_percent_1,OA_b_when_1,OA_b_whynot,OA_b_whynot_12_TEXT,OA_b_hesitate,OA_b_hesitate_12_TEXT,OA_b_future,OA_b_future_12_TEXT,OA_b_others_1,OA_o_others_1,OA_o_others_2,OA_o_others_3,OA_o_others_4,OA_o_others_5,Q14,replication_opinion,replication_behavior,replication_b_percen_1,replication_b_when_1,replication_b_whynot,replication_b_whynot_13_TEXT,rep_b_hesitate,rep_b_hesitate_13_TEXT,rep_b_future,rep_b_future_13_TEXT,rep_b_others_1,rep_o_others_1,rep_o_others_2,rep_o_others_3,rep_o_others_4,rep_o_others_5,years,gender,gender_3_TEXT,identifyResearch,identifyScience,discipline,qualquant,method,qualquantField_1,qualquantField_2,comments
12/10/25 9:52,12/10/25 9:57,IP Address,*******,100,314,TRUE,12/10/25 9:57,R_6EGTL0BI9krjQnL,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,,Very much in favor,I do not have a scholarly work that used data,,,,,34,22,49,0,29,0,,Neither in favor nor against,I do not have a scholarly work reporting studies,,,,,,,,,15,33,42,12,11,2,,Very much in favor,I have not published a scholarly work,,,,,,,,,23,21,46,0,24,9,,In favor,I do not have a scholarly work reporting relevant research,,,,,,,,,19,4,17,13,56,10,1,Man,,Not at all,Not at all,Communication Studies,Quantitative,N/A,42,58,
12/10/25 9:53,12/10/25 9:57,IP Address,*******,100,257,TRUE,12/10/25 9:57,R_5CKlY4v3ogFikOi,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,,Very much in favor,Yes,100,2023,,,75,19,27,54,0,0,,In favor,Yes,90,2023,,,,,,,60,25,22,53,0,0,,Very much in favor,Yes,100,2023,,,,,,,63,31,24,45,0,0,,Very much in favor,Yes,100,2023,,,,,,,65,25,22,53,0,0,4,Woman,,A moderate amount,A moderate amount,Psychology,Quantitative,Experimental design,94,6,
12/10/25 9:49,12/10/25 9:57,IP Address,*******,100,484,TRUE,12/10/25 9:57,R_7Nn7OqDfbRffUaK,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,Neither in favor nor against,No,,,"The data were proprietary or access was restricted,The data were too difficult to anonymize (human subjects),I didn't know of a suitable repository",,8,5,10,5,10,70,,Neither in favor nor against,I do not have a scholarly work reporting studies,,,,,,,"It is too time consuming,I don’t want others to use my plans for their own research,I don’t perceive my field to be in favor of this,I am unfamiliar with the practice,I don’t know of a suitable registry,It doesn’t seem relevant for my work,I won’t be rewarded for it",,1,0,0,0,20,80,,Very much in favor,Yes,71,2015,,,I didn’t have sufficient resources available,,,,61,80,10,10,0,0,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"I don’t have sufficient resources available,Given the nature of the research, it won’t be possible,It doesn’t seem relevant for my work,I won’t be rewarded for it",,19,60,15,25,0,0,30,Woman,,A moderate amount,A lot,ecological anthropology,Qualitative,mixed methods,70,30,
12/10/25 9:38,12/10/25 9:58,IP Address,*******,100,1203,TRUE,12/10/25 9:58,R_7DKWdWYObU9dmdH,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,10,2025,,,20,20,35,30,10,5,,No opinion,I do not have a scholarly work reporting studies,,,,,,,I am unfamiliar with the practice,,10,35,35,25,5,0,,Very much in favor,I have not published a scholarly work,,,,,,,"I don’t perceive my field to be in favor of this,I won’t be rewarded for it",,5,5,10,30,30,25,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"I don’t perceive my field to be in favor of this,I won’t be rewarded for it,I won’t be able to access the necessary data, materials, or code",,5,20,20,35,15,10,7,Man,,A great deal,A lot,Economics,Quantitative,ML,10,90,
12/10/25 9:39,12/10/25 9:58,IP Address,*******,100,1154,TRUE,12/10/25 9:58,R_7dGEHpTz3wl2etm,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,92,2022,,,50,40,30,15,10,5,,In favor,No,,,I was unfamiliar with the practice,,,,,,61,45,30,20,5,0,,Very much in favor,Yes,60,2021,,,"I didn’t have sufficient resources available,Other:",Cost,,,29,60,20,10,5,5,,Very much in favor,No,,,"I didn’t have sufficient resources available,Given the nature of the research, it was not possible",,,,,,61,50,30,15,5,0,5.5,Other,Non Binary,A lot,A lot,Anthropology,Quantitative,"I conduct geochemical analysis of stone artifacts. Assign artifacts to ""sources"" by matching the elemental makeups and then conduct analysis on the amounts of artifacts from different sources.  ",5,95,I work with a facility that operates under a NSF grant so all of the data collected here ultimately becomes open access after 2 years
12/10/25 9:44,12/10/25 9:58,IP Address,*******,100,828,TRUE,12/10/25 9:58,R_1TXLqNu7iQZfOtK,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,71,2018,,,40,41,20,17,11,11,,Very much in favor,Yes,61,2020,,,My collaborators were opposed to doing it,,,,41,50,30,15,5,0,,Very much in favor,No,,,Other:,too costly,,,,,50,70,20,10,0,0,,Very much in favor,No,,,,"I have done other replication studies, but my most recent work was not a replication study.",,,,,29,60,20,15,5,0,13,Man,,A great deal,A great deal,Developmental Psychology,Quantitative,"experimental design, big data, secondary data",26,74,
12/10/25 9:43,12/10/25 9:58,IP Address,*******,100,922,TRUE,12/10/25 9:58,R_5EzpSuLX0BsCvIU,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,50,2018,,,50,50,20,20,5,5,,In favor,No,,,It didn’t seem relevant for my work,,,,,,40,50,25,15,5,5,,In favor,No,,,"I didn’t have sufficient resources available,Other:",I did not have grant or university funds for the open access fee,,,,,40,80,15,3,1,1,,Very much in favor,Yes,50,2013,,,,,,,50,60,20,20,0,0,20,Woman,,A lot,A lot,personality psychology & gender studies,Quantitative,survey data; mixed methods,62,38,
12/10/25 9:47,12/10/25 9:58,IP Address,*******,100,656,TRUE,12/10/25 9:58,R_5t4En9znvk2D2Ux,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,,Very much in favor,Yes,10,2015,,,9,6,14,34,10,36,,In favor,No,,,"I was unfamiliar with the practice,It didn’t seem relevant for my work",,,,,,11,10,50,40,0,0,,In favor,No,,,"I didn’t have sufficient resources available,Given the nature of the research, it was not possible",,,,,,50,50,39,11,0,0,,In favor,No,,,"I didn’t have sufficient resources available,It didn’t seem relevant for my work,I couldn’t access the necessary data, materials, or code",,,,,,10,50,40,10,0,0,,Man,,Not at all,A little,Communication ,Qualitative,Survey,51,49,
12/10/25 9:45,12/10/25 9:58,IP Address,*******,100,825,TRUE,12/10/25 9:58,R_3pma68HPA1NMxyZ,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,,Somewhat agree,,,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat disagree,,In favor,No,,,"The data were proprietary or access was restricted,I didn't want to lose control over how the data were used,I didn't know of a suitable repository,It didn't seem relevant for my work",,14,10,29,61,0,0,,Neither in favor nor against,No,,,,,,,,,9,0,0,100,0,0,,Very much in favor,No,,,"I didn’t have sufficient resources available,Journal policy prevented it",,,,,,81,0,72,28,0,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible,It didn’t seem relevant for my work",,,,,,21,0,23,77,0,0,25,Man,,A moderate amount,A moderate amount,Instructional design/ program evaluation ,Quantitative,mixed methods,60,40,"As mixed methods is it own paradigm, i think it should have been an option in the survey, My responses would have been different "
12/10/25 9:47,12/10/25 9:59,IP Address,*******,100,686,TRUE,12/10/25 9:59,R_5aFKTWf04XtPdHr,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,,Neither in favor nor against,Yes,50,2022,,,30,15,15,30,15,25,,Neither in favor nor against,No,,,"I didn’t want others to use my plans for their own research,It didn’t seem relevant for my work",,,,,,30,15,15,25,15,30,,Very much in favor,Yes,20,2022,,,Other:,None,,,30,30,30,10,15,15,,Very much in favor,No,,,,Editors are ignorant about replications and do not favor them.,,,,,30,15,20,30,20,15,16,Man,,A great deal,A great deal,"Criminology, Law & Society",Quantitative,Use of secondary data.,25,75,
12/10/25 9:50,12/10/25 9:59,IP Address,*******,100,550,TRUE,12/10/25 9:59,R_3MO0j6ujKaV5Fbr,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,,Very much in favor,Yes,100,2019,,,92,90,10,0,0,0,,Neither in favor nor against,No,,,"I was unfamiliar with the practice,It didn’t seem relevant for my work",,,,,,1,0,10,80,10,0,,Very much in favor,No,,,"I was unfamiliar with the practice,I didn’t have sufficient resources available",,,,,,20,50,40,10,0,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,10,75,20,5,0,0,8,Woman,,A little,A moderate amount,Special Education,Quantitative,single case experimental,40,60,
12/10/25 9:47,12/10/25 9:59,IP Address,*******,100,730,TRUE,12/10/25 9:59,R_6Rk86wHKUbzMTi9,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,,Neither in favor nor against,Yes,100,2021,,,81,80,20,0,0,0,,Neither in favor nor against,No,,,It didn’t seem relevant for my work,,,,,,20,15,40,30,0,15,,Neither in favor nor against,Yes,50,2021,,,Other:,Plagiarism! It becomes easier for LLMs to appropriate and use for unauthorized purposes.,,,30,98,2,0,0,0,,Very much in favor,No,,,"It was too time consuming,I didn’t have sufficient resources available,I couldn’t access the necessary data, materials, or code",,,,,,5,25,40,25,10,0,8,Man,,A lot,A lot,Political Economy,Quantitative,Experimental and non-experimental (observational) designs.,60,40,
12/10/25 9:50,12/10/25 10:00,IP Address,*******,100,573,TRUE,12/10/25 10:00,R_5Qw6D7Mw3IbTywh,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,Very much in favor,Yes,50,2025,,,20,25,40,20,10,5,,Very much in favor,I do not have a scholarly work reporting studies,,,,,,,I am unfamiliar with the practice,,10,15,35,40,10,0,,Very much in favor,Yes,75,2025,,,,,,,80,50,30,20,0,0,,Very much in favor,No,,,It didn’t seem relevant for my work,,,,,,20,35,50,15,0,0,4,Woman,,A great deal,A great deal,Business Management,Quantitative,"Big Data, Machine Learning",75,25,
12/10/25 9:35,12/10/25 10:01,IP Address,*******,100,1565,TRUE,12/10/25 10:01,R_6YbN71DQbEuv2oz,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,Very much in favor,No,,,"I didn't know of a suitable repository,It didn't seem relevant for my work",,10,20,51,25,2,2,,In favor,No,,,"I didn’t know of a suitable registry,It didn’t seem relevant for my work,I didn’t think it was important,I won’t be rewarded for it",,,,,,3,3,11,77,6,3,,In favor,No,,,"I didn’t have sufficient resources available,I won’t be rewarded for it",,,,,,20,13,32,40,10,5,,Very much in favor,No,,,"It was too time consuming,I didn’t have sufficient resources available,It didn’t seem relevant for my work,I won’t be rewarded for it",,,,,,2,2,14,81,1,2,9,Man,,A little,A little,Sociology,Quantitative,"Hierarchical linear models, spatial statistics ",35,65,"The numeric question for years as a researcher seems weird to me when there is no other identifying question for type of researcher. Also, the open access costs are unbelievable. It’s virtually never worth that money. Also, Neil degrasse Tyson famously said “in science when human behavior enters the equation things go nonlinear. That’s why physics is easy and sociology is hard.” The mores of science method as written are good for cultivating knowledge but largely unsuited for many of the questions I’m trying to answer. What’s more is that they arent practiced as written or credited.  And it’s really annoying putting up with hard-scientists who have not truly considered this problem talk about themselves as the only ones making new knowledge. Even if I conducted studies such that these data availability tools and registration were done, the hard-science interlocutor is not going to take it seriously as the cutting edge of our understanding on a topic. It’s a bar for gatekeeping a club for dweebs and not worth my time. "
12/10/25 9:53,12/10/25 10:01,IP Address,*******,100,508,TRUE,12/10/25 10:01,R_7fgzN4xzE29GKXf,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Very much in favor,No,,,"The data were proprietary or access was restricted,The data were too difficult to anonymize (human subjects),The data were already available",,26,0,50,20,30,0,,No opinion,I do not have a scholarly work reporting studies,,,,,,,"I am unfamiliar with the practice,I don’t know of a suitable registry",,5,0,0,100,0,0,,Very much in favor,Yes,2,2024,,,,,,,50,25,50,20,5,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,50,50,50,0,0,0,11,Woman,,A great deal,A great deal,Sociology,Quantitative,"Surveys, focus groups, secondary data analysis ",40,60,
12/10/25 9:40,12/10/25 10:01,IP Address,*******,100,1301,TRUE,12/10/25 10:01,R_534zAsSObZeZeP9,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,40,2003,,,40,19,81,0,0,0,,In favor,No,,,I won’t be rewarded for it,,,,,,70,65,0,0,35,0,,In favor,No,,,I didn’t have sufficient resources available,,,,,,10,0,40,0,60,0,,Very much in favor,No,,,It was too time consuming,,,,,,5,0,80,0,20,0,15,Woman,,A lot,A lot,Economics,Quantitative,Casual inference ,5,95,
12/10/25 9:53,12/10/25 10:02,IP Address,*******,100,565,TRUE,12/10/25 10:02,R_3qdqa9LR5lA4cQ6,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,,Neither in favor nor against,No,,,"I didn't want others to use the data for their own research,The data were too difficult to anonymize (human subjects)",,30,10,20,40,20,10,,Neither in favor nor against,No,,,Other:,does not apply to my type of data,,,,,23,65,35,0,0,0,,In favor,No,,,I didn’t have sufficient resources available,,,,,,27,10,20,40,20,10,,Very much in favor,Yes,29,2023,,,"Given the nature of the research, it was impossible,It didn’t seem relevant for my work",,,,27,10,20,40,20,10,5,Woman,,A great deal,A moderate amount,Sociology,Qualitative,"ethnography, interviews, experiment, content analysis",40,60,"Respectfully, many of these questions seemed better suited to those in the hard sciences (or big-N quantitative scholars). Some of my answers to these questions, as a predominatly qualitative social scientist, may not precisely reflect the reality of my field, or my perception of it. "
12/10/25 9:48,12/10/25 10:03,IP Address,*******,100,896,TRUE,12/10/25 10:03,R_3sadqT3MSyl7gtK,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,,In favor,Yes,25,2012,,,66,20,80,0,0,0,,Neither in favor nor against,No,,,"I didn’t perceive my field to be in favor of this,I didn’t know of a suitable registry,It didn’t seem relevant for my work",,,,,,,0,0,100,0,0,,Very much in favor,Yes,20,2023,,,"I didn’t have sufficient resources available,Journal policy almost prevented it,Other:",Publisher passes costs to me (the author). I was not provided with institutional support for Open-Access Publishing and I can't afford the fees.,,,25,80,0,20,0,0,,Very much in favor,No,,,,,,,,,33,0,66,34,0,0,23,Man,,A great deal,A great deal,Anthropology (Archaeology focus),Qualitative,Qualitative analysis of pottery form coupled with ethnoarchaeology and ethnohistory.,50,50,Thank you for organizing this survey and conducting this study. I find the questions very important and I look forward to hearing the results and interpretation. Keep up the good work!
12/10/25 9:55,12/10/25 10:03,IP Address,*******,100,490,TRUE,12/10/25 10:03,R_77NohF6JWwV4CVU,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,Neither in favor nor against,Yes,80,2023,,,81,19,40,11,15,15,,Neither in favor nor against,Yes,50,2023,,,"I didn’t want others to use my plans for their own research,I was nervous that someone would discover a mistake,I was worried it would reduce publishability of my findings",,,,65,21,36,15,13,15,,In favor,No,,,"I didn’t have sufficient resources available,Other:",expensive,,,,,25,40,40,15,3,2,,In favor,No,,,I won’t be rewarded for it,,,,,,10,30,50,13,5,2,7,Man,,A moderate amount,A little,Organizational Behavior - Mangagement,Quantitative,Survey Field Data and Experiments,30,70,
12/10/25 9:51,12/10/25 10:03,IP Address,*******,100,717,TRUE,12/10/25 10:03,R_1jYFRKlDlqY9Yz7,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,20,2020,,,30,20,30,10,20,20,,Very much in favor,Yes,40,2017,,,"It was too time consuming,My collaborators were opposed to doing it,I was worried it would reduce publishability of my findings",,,,40,20,30,30,10,10,,Very much in favor,Yes,20,2021,,,"It was too time consuming,My collaborators were opposed to doing it,I won’t be rewarded for it",,,,40,30,30,20,10,10,,Very much in favor,No,,,"It was too time consuming,It didn’t seem relevant for my work,I couldn’t access the necessary data, materials, or code",,,,,,40,30,30,20,10,10,10,Woman,,A moderate amount,A moderate amount,Experimental Psychology,Quantitative,"Survey design, correlational study",20,80,
12/10/25 9:56,12/10/25 10:04,IP Address,*******,100,491,TRUE,12/10/25 10:04,R_6TGhqipcRfM3Sj2,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,,Very much in favor,No,,,The data were already available,,84,52,34,7,4,3,,In favor,I do not have a scholarly work reporting studies,,,,,,,"It is too difficult,I don’t want others to use my plans for their own research,I am worried it would reduce publishability of my findings,I won’t be rewarded for it",,12,11,15,21,40,13,,Very much in favor,I have not published a scholarly work,,,,,,,"I won’t be rewarded for it,Journal policy prevents it",,80,65,20,10,4,1,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"I don’t perceive my field to be in favor of this,Given the nature of the research, it won’t be possible,I won’t be rewarded for it,I won’t be able to access the necessary data, materials, or code",,12,29,36,15,13,7,4,Man,,A lot,A moderate amount,Economics,Quantitative,causal inference,9,91,
12/10/25 9:56,12/10/25 10:04,IP Address,*******,100,466,TRUE,12/10/25 10:04,R_5rjlWjYwVnt5Mhw,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Very much in favor,No,,,The data were proprietary or access was restricted,,40,60,30,10,0,0,,In favor,No,,,"I was unfamiliar with the practice,It didn’t seem relevant for my work",,,,,,14,30,50,20,0,0,,In favor,No,,,Journal policy prevented it,,,,,,65,60,30,10,0,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,19,50,30,20,0,0,35,Woman,,A moderate amount,A little,Sociology,Quantitative,Secondary data analysis,40,60,
12/10/25 9:56,12/10/25 10:04,IP Address,*******,100,469,TRUE,12/10/25 10:04,R_3Ia2Wbf1ADrykGx,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,,In favor,Yes,100,2024,,,50,51,20,10,10,9,,Against,No,,,It didn’t seem relevant for my work,,,,,,40,30,21,22,21,6,,Very much in favor,I have not published a scholarly work,,,,,,,Other:,Cost,61,81,11,8,0,0,,Very much in favor,No,,,"It was too time consuming,I won’t be rewarded for it",,,,,,20,71,20,9,0,0,3,Woman,,A moderate amount,A little,Political Science,Qualitative,"Comparative historical analysis, process tracing, difference-in-difference",41,59,
12/10/25 9:54,12/10/25 10:06,IP Address,*******,100,692,TRUE,12/10/25 10:06,R_3sdZ09SKLciBmcp,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,Very much in favor,Yes,40,2017,,,20,19,24,2,20,35,,Very much in favor,No,,,"It was too time consuming,It was too difficult,I didn’t perceive my field to be in favor of this,It didn’t seem relevant for my work,My collaborators were opposed to doing it,I didn’t think it was important,I won’t be rewarded for it",,,,,,2,6,6,18,40,30,,Very much in favor,Yes,80,2017,,,"It was too time consuming,I didn’t perceive my field to be in favor of this,I didn’t have sufficient resources available,Given the nature of the research, it was almost not possible,I won’t be rewarded for it,Other:",It is expensive!,,,20,20,20,30,20,10,,Very much in favor,Yes,30,2015,,,"I didn’t perceive my field to be in favor of this,It didn’t seem relevant for my work,I won’t be rewarded for it,I almost couldn’t access the necessary data, materials, or code,The editor/reviewers tried to make me remove it",,,,40,35,28,20,10,7,10,Man,,A moderate amount,A lot,Demography and Sociology,Quantitative,Big data,60,40,"Sociology is a strange field. In general, people are *theoretically* for replication, but it is well-known that you cannot get a job that way. The benefits of open access are purely via citation counts, but that is partially discounted by hiring committees. There are mixed opinions about open data because sociologists often have antiscientific ethical commitments."
12/10/25 9:53,12/10/25 10:06,IP Address,*******,100,801,TRUE,12/10/25 10:07,R_1qlLCBXly2WSAD1,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,In favor,I do not have a scholarly work that used data,,,,,51,0,64,16,20,0,,In favor,I do not have a scholarly work reporting studies,,,,,,,It is too time consuming,,15,65,35,0,0,0,,Very much in favor,I have not published a scholarly work,,,,,,,"I don’t have sufficient resources available,My collaborators are opposed to doing it,Journal policy prevents it",,44,0,37,53,10,0,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"It is too time consuming,I am unfamiliar with the practice,The editor/reviewers will make me remove it",,30,0,41,35,15,9,"Grad student, 5th year",Man,,A moderate amount,A little,Poli Sci Grad Student ,Qualitative,"Interview, ethnographic work",20,80,
12/10/25 9:53,12/10/25 10:07,IP Address,*******,100,849,TRUE,12/10/25 10:07,R_7ZJjOK6DXfJb0fF,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,,Neither in favor nor against,Yes,20,2023,,,46,40,20,30,0,10,,Against,I do not have a scholarly work reporting studies,,,,,,,"I don’t know of a suitable registry,It doesn’t seem relevant for my work,Other:",Exploratory analysis is required to better understand how the data behaves. This means the model choice is subject to change,5,0,0,0,10,90,,In favor,I have not published a scholarly work,,,,,,,"It is too time consuming,I don’t perceive my field to be in favor of this,My collaborators are opposed to doing it,Journal policy prevents it",,10,0,0,20,60,20,,In favor,I do not have a scholarly work reporting relevant research,,,,,,,Other:,Replication work is harder to publish without large theoretical contributions,15,0,20,40,30,10,3,Man,,A moderate amount,A moderate amount,Political Science,Quantitative,Survey data,30,70,
